冷線,laang1-sin3,knitting yarn,5,1
冷,laang1,knitting yarns,5,1
手手腳腳,sau2-sau2-goek3-goek3,hands and legs,5,1
花繩,faa1-sing2,string figure,5,1
綁住,bong2-zyu6,to tie,5,1
氣球,hei3-kau4,balloon,5,1
旗仔,kei4-zai2,little flags,5,1
扮靚,baan6-leng3,beautify,5,1
數唔數到,sou2-m4-sou2-dou2,can or cannot count,5,1
鄉,hoeng1,home,5,1
愁,sau4,sick,5,1
Mom,Mom,Mom,5,1
大學,daai6-hok6,university,5,1
中文,zung1-man2,chinese,5,1
中國文學,zung1-gwok3-man4-hok6,Chinese Literature,5,1
讀完,duk6-jyun4,finish reading,5,1
外國,ngoi6-gwok3,overseas,5,1
公司,gung1-si1,company,5,1
外國人,ngoi6-gwok3-jan4,foreigner,5,1
結婚,git3-fan1,get married,5,1
VCD,VCD,VCD,5,1
歌手,go1-sau2,singer,5,1
春,ceon1,spring,5,1
夏,haa6,summer,5,1
秋,cau1,autumn,5,1
冬,dung1,winter,5,1
戲,hei3,movie,5,1
家鄉,gaa1-hoeng1,hometown,5,1
阿飛正傳,aa3-fei1-zing3-zyun2,Days of Being Wild,5,1
詩,si1,poem,5,1
詩人,si1-jan4,poet,5,1
其中,kei4-zung1,among,5,1
MOM,Mom,Mom,5,1
呂宋,leoi5-sung3,Luzon,5,1
島,dou2,island,5,1
喺嗰度,hai2-go2-dou6,over there,5,1
Jolibee,Jolibee,Jolibee,5,1
鐘意,zung1-ji3,like,5,1
書架,syu1-gaa2,bookshelf,5,1
根,gan1,root,5,1
喺埋一齊,hai2-maai4-jat1-cai4,to be together,5,1
心心,sam1-sam1,Sammy,5,1
孤兒院,gu1-ji4-jyun2,orphanage,5,1
長大,zoeng2-daai6,grow up,5,1
肥嘟嘟,fei4-dyut1-dyut1,chubby,5,1
眼仔碌碌,ngaan5-zai2-luk1-luk1,round little eyes,5,1
汪,wong1,(bark),5,1
岀,ceot1,out,5,2
如常,jyu4-soeng4,as usual,5,2
狗糧,gau2-loeng4,dog food,5,1
打算,daa2-syun3,plan to,5,1
午餐,ng5-caan1,lunch,5,1
夠鐘,gau3-zung1,time to,5,1
唔舒服,m4-syu1-fuk6,not feeling well,5,1
院長,jyun2-zoeng2,Director,5,1
獸醫,sau3-ji1,vet,5,1
托,tok3,push upwards,5,1
老,lou5,get old,5,1
旅遊,leoi5-jau4,tourism,5,1
節目,zit3-muk6,programme,5,1
主持人,zyu2-ci4-jan4,host,5,1
傳說,cyun4-syut3,legend,5,3
喜瑪拉雅山,hei2-maa5-laai1-ngaa5-saan1,Himalayas,5,1
上網,soeng5-mong5,go to the Internet,5,1
搜尋,sau2-cam4,to search,5,1
齊,cai4,all,5,1
岀發,ceot1-faat3,to set off,5,1
居然,geoi1-jin4,unexpectedly,5,1
急,gap1,urgent,5,1
趕住,gon2-zyu6,rush,5,1
攔,laan4,block,5,1
耐性,noi6-sing3,patience,5,1
唔忿氣,m4-fan6-hei3,not resigning to,5,1
箭,zin3,arrow,5,1
火車站,fo2-ce1-zaam6,train station,5,1
山腳,saan1-goek3,foot of a hill,5,1
租,zou1,rent,5,1
揹,me1,carry,5,1
拖,to1,drag,5,2
山頂,saan1-deng2,top of the hill,5,1
和尚,wo4-soeng2,Buddhist monk,5,1
求,kau4,to beg,5,1
請問,cing2-man6,May I ask,5,1
萬能藥,maan6-nang4-joek6,Elixir,5,1
施主,si1-zyu2,benefactor,5,1
群,kwan4,group of,5,1
黑鼆鼆,haak1-mang1-mang1,dark and black,5,3
禿鷹,tuk1-jing1,eagle,5,1
既,gei3,also,5,1
愕然,ngok6-jin4,shocked,5,1
震驚,zan3-ging1,amazed,5,1
長生不老藥,coeng4-sang1-bat1-lou5-joek6,Elixir,5,1
一部分,jat1-bou6-fan6,a part,5,1
眼濕濕,ngaan5-sap1-sap1,eyes filled with tears,5,2
失望,sat1-mong6,disappointed,5,1
風景,fung1-ging2,landscape,5,1
優美,jau1-mei5,beautiful,5,1
清新,cing1-san1,fresh,5,1
跑嚟跑去,paau2-lai4-paau2-heoi3,run around,5,1
回程,wui4-cing4,return trip,5,1
路上,lou6-soeng6,on the way,5,1
腳印,goek3-jan3,footprint,5,1
眼淚,ngaan5-leoi6,tear,5,1
根本,gan1-bun2,firstly,5,4
心有戚戚焉,sam1-jau5-cik1-cik1-jin4,strike a chord,5,1
埋葬,maai4-zong3,to bury,5,1
冇幾耐,mou5-gei2-noi6,not long,5,3
同樣,tung4-joeng6,similarly,5,1
