咬,ngaau5,to bite,1,2
畀,bei2,to give,1,72
太陽,taai3-joeng4,the sun,1,17
出嚟,ceot1-lai4,come out,1,44
熱,jit6,hot,1,14
醒,seng2,wake up,1,7
蟲仔,Cung4-Zai2,Caterpillar,1,1
之後,zi1-hau6,after,1,43
鏡,geng3,mirror,1,1
入面,jap6-min6,inside,1,49
自己,zi6-gei2,itself,1,69
青B B,ceng1-bi1-bi1,blue-green,1,1
黃色,wong4-sik1,yellow,1,21
一點點,jat1-dim2-dim2,dots,1,1
一啲,jat1-di1,a bit,1,15
動物,dung6-mat6,animal,1,40
會,wui5,will,1,111
唔開心,m4-hoi1-sam1,not happy,1,22
於是,jyu1-si6,so,1,9
其他,kei4-taa1,other,1,26
狗,gau2,dog,1,4
哥哥,go4-go1,elder brother,1,49
靚唔靚,leng3-m4-leng3,beautiful or not beautiful,1,1
高,gou1,tall,1,37
靚,leng3,beautiful,1,31
聽到,teng1-dou2,hear,1,29
貓,maau1,cat,1,11
姐姐,ze4-ze1,elder sister,1,4
等,dang2,wait,1,32
然後,jin4-hau6,then,1,20
走,zau2,leave,1,44
牛,ngau4,cow,1,5
伯伯,baak3-baak3,uncle,1,6
唔明,m4-ming4,don't understand,1,11
緊,gan2,-ing,1,70
返,faan1,go back,1,76
屋企,uk1-kei2,home,1,87
大個,daai6-go3,grow up,1,23
一定,jat1-ding6,sure,1,24
原來,jyun4-loi4,it turns out,1,40
恐龍仔,hung2-lung4-zai2,little dinosaur,1,1
對唔住,deoi3-m4-zyu6,sorry,1,4
送,sung3,give,1,26
朋友,pang4-jau5,friend,1,47
玩,waan2,to play,1,128
好人,hou2-jan4,nice person,1,2
天氣,tin1-hei3,weather,1,16
落,lok6,go down,1,47
公園,gung1-jyun2,park,1,32
嗰度,go2-dou6,there,1,18
花,faa1,flowers,1,15
同埋,tung4-maai4,and,1,19
大,daai6,big,1,55
重,cung5,heavy,1,7
驚,geng1,afraid,1,50
唔食,m4-sik6,don't eat,1,1
輕,heng1,light,1,2
曳,jai5,naughty,1,2
天空,tin1-hung1,the sky,1,28
飛,fei1,fly,1,58
便便,bin6-bin6,poo,1,1
咁,gam3,so,1,54
再,zoi3,more,1,37
好啲,hou2-di1,better,1,4
沙灘,saa1-taan1,sandy beach,1,13
晏晝,aan3-zau3,afternoon,1,6
夜晚,je6-maan5,night,1,6
月亮,jyut6-loeng6,the moon,1,13
凍,dung3,cold,1,8
着,zoek3,wear,1,14
去街,heoi3-gaai1,go out,1,7
唱,coeng3,sing,1,11
難聽,naan4-teng1,awful sounding,1,1
應該,jing1-goi1,should,1,17
靜啲,zing6-di1,more quiet,1,1
瞓覺,fan3-gaau3,sleep,1,10
明白,ming4-baak6,understand,1,7
掛住,gwaa3-zyu6,miss,1,5
上,soeng5,up,1,41
盒,hap2,box,1,9
一個,jat1-go3,one,1,30
木,muk6,wood,1,1
放,fong3,put,1,28
都係,dou1-hai6,also,1,46
公仔,gung1-zai2,doll,1,7
豬仔,zyu1-zai2,piglet,1,7
好鍾意,hou2-zung1-ji3,like a lot,1,13
