雨神城,jyu5-san4-sing4,Rain God City,7,1
蒙難,mung4-naan6,suffer,7,1
記,gei3,story,7,1
連續,lin4-zuk6,continuously,7,1
大雨,daai6-jyu5,heavy rain,7,1
無聊,mou4-liu4,bored,7,1
先至,sin1-zi3,only then,7,1
舊年,gau6-nin2,last year,7,1
浸,zam3,inundated,7,1
有得,jau5-dak1,get to,7,1
岀門,ceot1-mun4,go out,7,1
婷婷,ting4-ting2,Ting Ting,7,1
頻頻撲撲,pan4-pan4-pok3-pok3,busy running about,7,1
就話,zau6-waa6,then say,7,1
拜神,baai3-san4,pay homage to deity,7,1
儀式,ji4-sik1,ritual,7,1
祈求,kei4-kau4,pray for,7,1
女神,neoi5-san4,goddess,7,1
流淚,lau4-leoi6,shed tear,7,1
發覺,faat3-gok3,realise,7,1
幫到手,bong1-dou2-sau2,can help,7,1
阻,zo2,hinder,7,1
大明,daai6-ming4,Tai Ming,7,1
拜,baai3,worship,7,1
神,san4,god,7,1
埋一邊,maai4-jat1-bin1,aside,7,1
充裕,cung1-jyu6,prosperous,7,1
使,sai2,to spend,7,1
敢,gam2,dare,7,1
打擾,daa2-jiu2,to bother,7,1
小文,siu2-man4,Siu Man,7,1
鐵盆,tit3-pun2,iron brazier,7,1
入屋,jap6-uk1,enter house,7,1
跨,kwaa1,jump over,7,1
火盆,fo2-pun4,brazier,7,1
轉頭,zyun3-tau4,in reverse,7,1
入門,jap6-mun4,enter the house,7,1
好運,hou2-wan6,good luck,7,1
呢排,nei1-paai4,recently,7,1
衰運,seoi1-wan6,bad luck,7,1
燒,siu1,burn,7,1
行李,hang4-lei5,luggage,7,1
搬屋,bun1-uk1,move house,7,1
非同小可,fei1-tung4-siu2-ho2,no small matter,7,1
一臉凝重,jat1-lim5-jing4-zung6,wear a serious face,7,1
唔捨得,m4-se2-dak1,unwilling to part with,7,1
夾手夾腳,gaap3-sau2-gaap3-goek3,work together,7,1
當日,dong1-jat6,that day,7,1
諗法,nam2-faat3,thought,7,1
成群結隊,sing4-kwan4-git3-deoi6,in herds,7,1
移居,ji4-geoi1,migrate,7,1
記者,gei3-ze2,reporter,7,1
報道,bou3-dou6,report,7,1
一年一度,jat1-nin4-jat1-dou6,annual,7,1
水災,seoi2-zoi1,inundation,7,1
又再,jau6-zoi3,again,7,1
財神爺,coi4-san4-je4,God of Wealth,7,1
年年,nin4-nin4,every year,7,1
城主,sing4-zyu2,city master,7,1
抬頭,toi4-tau4,look up,7,1
外,ngoi6,outside,7,1
慶幸,hing3-hang6,feel lucky,7,1
醒悟,sing2-ng6,realise,7,1
與其,jyu5-kei4,rather than,7,1
相信,soeng1-seon3,believe in,7,1
因此,jan1-ci2,hence,7,1
將來,zoeng1-loi4,future,7,1
更,gang3,more,7,1
有效,jau5-haau6,effective,7,1
防洪,fong4-hung4,flood prevention,7,1
